prompt,ppl_base,next_token_loss_base,original_index,ppl_spike_90,label,mean_cluster_risk,max_cluster_risk,std_cluster_risk,median_cluster_risk,n_hits,n_unique_features,polysemantic_ratio,feature_entropy,weighted_entropy,dominance_ratio,label_proba,label_pred
"Context:
The convention center hosted a trade show, and I wandered the exhibits until my feet hurt. In a side hall, a formal meeting turned into a symposium panel, followed by an awards toast over dinner. Outside, posters promised a weekend tournament and a street festival, and volunteers were already building the ceremony platform. That night, I attended a wedding reception, then joined a short discussion group for a course I’d signed up for. Before sleeping, I pinned the invitation for the “Civic Convention Banquet” on 3 May above my desk.",49.051575,3.8928723,0,8.875,0,9.421209,5945.7227,133.00334,0.0,47700,723,0.015157233,6.5834093,5.6704173,631.09973,0.012270980514585972,0.0
"Context:
The first line read <bos>, and the opening paragraph rambled from cooking plans to roofing schedules to who owned the karaoke speakers. I opened a prompt-based chat and asked for a revised introduction, and the reply answered in a smooth blend of technology talk and finance updates. After that, I added the location for the event, because everyone kept asking where to show up. Finally, I copied in a short sentence about a church service and a familiar religious reference that was already on the poster.",100.78206,4.6129603,1,9.293749,0,10.072374,5987.0127,138.05032,0.0,43886,713,0.01624664,6.5694814,5.6307616,594.39935,0.06572706997394562,0.0
"Context:
A pigeon fluttered into the warehouse and sent a few loose feathers drifting onto the pallets. The logistics lead, a woman who ran a dog-walking side business, waved it toward the open bay while she kept talking. The temp worker, who wore a badge from a local job program, tried to look unfazed even as the bird circled again. On a table nearby, someone assembled sandwiches and winced while stretching a sore wrist. A radio host chatted about a famous footballer’s transfer, and the speculation filled the gaps between tasks.",61.373444,4.116977,2,8.418749,0,9.977022,5739.274,134.8006,0.0,48147,734,0.0152449785,6.598509,5.758025,575.2492,0.04987432062625885,0.0
"Context:
Ethan kept getting stopped because people wanted to confirm his name for the badge printer. He spelled it out, then watched the volunteer nod and type. At the table, someone shouted “Evan,” and he hesitated before realizing it wasn’t for him. When his teammate finally said “Ethan” with confidence, the tension in his shoulders eased. He didn’t mind repeating it; he just wanted it to land right.",36.5047,3.597441,3,7.9625006,1,11.807499,4548.894,146.1239,0.0,37546,716,0.019069942,6.5736804,5.6734643,385.25467,0.8864381313323975,1.0
"Context:
My friend asked if I could pick him up, and I answered while staring at the map that said Odense, 07:10. The parking sign listed 2 hours max, 50 m ahead, and a time window separated by a dash. I measured the trunk space against the suitcase length and realized it was 3 cm too tight, so we angled it in. His text used commas, then a quick “and/or” to cover the backup plan if traffic got bad. Before driving off, I jotted fuel, tolls, and coffee on a scrap of paper.",39.279217,3.6706955,4,8.0625,0,8.500007,4822.571,124.90263,0.0,53197,722,0.013572194,6.582025,5.6843,567.36084,0.003019981551915407,0.0
"Context:
They celebrated the beginning of their new venture by ordering takeout and sketching a website layout on paper. The plan included high-definition photos of products, a chart for pricing tiers, and a section for customer opinions, even though none existed yet. When they tried to set up the backend, the software demanded an update to the latest version and immediately produced an error that blocked account creation. One of them edited the location field manually, pasted bracketed product names and specifications into the catalog, and kept going despite the interruption.",47.77257,3.8664517,5,8.34375,0,11.632551,7638.602,153.0087,0.0,45632,725,0.015887974,6.5861716,5.7884626,656.65753,0.11411993950605392,0.0
"Context:
He sat in the waiting room after the scan, listening for his name while trying not to think about the results. The pamphlet on the table talked about health risks over long durations, and the words made the minutes feel heavier. If the doctor didn’t come in before the next hour, he told himself he would ask the receptionist what was happening. His phone updated in the background, and the progress completed at the same instant the door opened.",24.889572,3.214449,6,8.356251,0,11.212654,6244.5737,146.28079,0.0,39655,716,0.018055731,6.5736804,5.6303234,556.922,0.04161364212632179,0.0
"Context:
The jacket was lightweight but still structured, with reinforced seams that looked built for movement. I chose gloves with a grippy palm because the event was outdoors and the night air cuts through cheap fabric. A small crossbody bag sat flat against my side, just enough for a ticket and keys without bouncing around. By the time I reached the gates, the outfit felt like part of the plan rather than decoration.",39.87651,3.6857874,7,7.7249994,1,12.240517,4548.894,148.23375,0.0,35859,718,0.020022867,6.5764694,5.667494,371.62598,0.9536823630332947,1.0
"Context:
The train derailment left steel twisted beside the tracks and gravel sprayed across the field. People gathered at a distance, staring as rescue teams moved in. A loudspeaker repeated warnings about staying back from unstable cars. The scene felt unreal, like it belonged to another country or another era. Even hours later, the ground seemed to vibrate with what had happened.",33.04664,3.4979198,8,8.124998,1,14.027621,4548.894,159.82208,0.0,31639,711,0.022472266,6.5666723,5.66965,324.28122,0.9983311295509338,1.0
"Context:
At 06:45 in Copenhagen, I opened the app and saw a question about seat selection, so I answered it before boarding. The ticket showed Car 2, Seat 18A, and the platform line read 4/5 depending on the track change. I measured my carry-on against the 55 cm limit and tightened the strap so it would fit under the seat. In Aalborg at 10:12, the announcement used commas, then an and, then an or that made everyone glance around. I wrote a short list in my notes—bus, coffee, keys—and headed out toward the exit.",31.949602,3.4641597,9,8.1875,0,8.341514,6317.3306,127.38613,0.0,58277,724,0.012423426,6.584791,5.7156315,757.33624,0.002124489052221179,0.0
"Context:
The museum guide showed us three versions of the same painting from different years. In one, the colors were muted, and in another the blues were almost electric. A later piece combined the earlier shapes with new patterns that felt more restless. I stood there noticing how the artist kept the theme but changed the personality each time.",32.452705,3.4797838,10,7.249998,1,14.621172,4548.894,163.24095,0.0,29075,712,0.024488391,6.568078,5.606845,311.1169,0.9945651292800903,1.0
"Context:
He asked if the bike pump was compatible, and I answered after checking the valve type printed on the box. The instruction sheet showed 6 bar / 87 psi, with the units split by a slash and the steps divided by commas. I measured the tire width in millimeters, then adjusted the pressure until it matched the recommended number. The warranty paragraph used and/or wording that made it sound like a contract instead of a product. Before leaving, I listed tube, patch kit, and a small wrench in my pocket.",47.206245,3.8545263,11,8.612499,0,8.865795,4548.894,126.967445,0.0,46828,710,0.015161869,6.565265,5.593328,513.0836,0.026675734668970108,0.0
"Context:
At the airport I compared train schedules and rideshare prices, trying to choose the easiest way into the city after a late arrival. The transit app showed a direct metro line, but the shuttle promised door-to-door service if I booked ahead. I picked the metro because it was simple, frequent, and didn’t require a reservation. By the time I reached the hotel, I was glad I’d chosen the option with the fewest steps.",15.08064,2.7134118,12,6.540623,1,10.907293,4548.894,140.48685,0.0,40508,713,0.017601462,6.5694814,5.661995,417.0507,0.5936453938484192,1.0
"Context:
My sister wanted to ship a heavy box, so we compared services that promised different delivery speeds and pickup methods. One company offered a locker drop-off, another scheduled a home pickup, and the third had the best tracking. We chose the pickup service because it saved time and avoided carrying the box across town. The receipt spelled out the delivery window and the support number if anything went wrong.",27.508718,3.314503,13,7.46875,1,12.625417,4548.894,154.43307,0.0,35002,711,0.020313125,6.5666723,5.612503,360.29654,0.9941791296005249,1.0
"Context:
Water seeped from a cracked pipe above the ceiling and dripped onto a keypad that controlled a secure door. The next report was digital: the access log showed someone had bypassed credentials during the night. Out on the road, smoke from a small fire slowed traffic until a rear-end collision happened in the blind haze. A kangaroo at the nearby wildlife park used a sagging corner of fence to hop out and disappear into the trees. Meanwhile, the café staff kept chopping herbs, and the onsite medic guided a tube into a patient’s throat with steady hands.",60.240036,4.098337,14,10.299999,0,10.20726,4548.894,134.66698,0.0,49431,721,0.014585989,6.5806394,5.832445,445.6528,0.002822525566443801,0.0
"Context:
My neighbor asked how much paint to buy, and I answered by calculating the wall area from the measurements. The note on the door said “Back entrance, 17:20,” with the location and time separated by a comma. I measured the room as 3.8 m by 4.2 m, then wrote the numbers down before I forgot them. The shopping site used plus signs for bundles and an or for color choices, while commas separated the specifications. I made a list of rollers, tape, and drop cloths before we drove to the store.",33.60513,3.5146787,15,7.5968714,0,8.680026,4707.031,125.73218,0.0,50660,719,0.014192657,6.5778613,5.671694,542.283,0.0021064509637653828,0.0
"Context:
The receptionist asked for my ID, and I answered while the wall clock ticked toward 08:30. The appointment card listed the address, then a comma, then the time, and it ended with a period that looked oddly stern. On the intake form, I entered 72.4 kg and 182 cm, careful with decimals and units. The consent text was packed with commas, and, or, and a few slashes for alternative contact methods. Afterward, I wrote bus, keys, and lunch on my hand so I would not forget.",36.82361,3.6061392,16,9.093748,0,4.6202636,4615.5938,88.8911,0.0,50502,577,0.01142529,6.3578424,5.0949965,998.98926,0.03664751350879669,0.0
"Context:
You sat with me while I read a publication from a medical study, and you asked about the process as if you were planning to reproduce it. I explained the type system and how the main function produced the key graph. You then launched into a rant about wealth disparity, followed by a sudden sports news tangent that made me laugh. No one required you to help, but you used the rest of the evening to summarize the methods in your own words.",47.800827,3.867043,17,7.78125,0,5.9198985,4548.894,99.08645,0.0,39934,580,0.014523964,6.363028,5.108562,768.4074,0.15533782541751862,0.0
"Context:
On the notice board, the schedule was written as short fragments separated by commas and dashes. It started with a street name, then a time, then a brief location tag on the next line. I reread the entry twice because one slash changed which building it referred to. After that, I highlighted the time window so I would not confuse it with the date below. The formatting carried as much meaning as the words.",44.105232,3.7865784,18,9.40625,1,6.438602,7266.9946,107.59673,0.0,36977,579,0.015658382,6.3613024,5.112686,1128.6603,0.9727937579154968,1.0
"Context:
The museum route suggested starting at the entrance and walking through the left gallery. From there, it directed visitors to the courtyard, then back into the central hall. I followed the path past the statues and into a quieter room with sketches. At the end, a small sign pointed toward the café by the windows. The tiny joining words turned a building into a sequence.",48.734688,3.8863912,19,7.953125,1,7.749142,6028.3022,117.862076,0.0,32759,574,0.017521903,6.352629,5.1474295,777.9316,0.9767577052116394,1.0
"Context:
The page opened with <bos>, then a messy beginning that jumped straight into a recipe, a roof repair, and whether the sports eyewear would survive rain. I asked in the chat for a cleaner version, and the response answered like a prompt exchange about finance and current events. After that, I pasted in the location of the venue, complete with street and entrance details. Before sending it, I added a brief mention of a Sunday service and a Christian reference that the organizers wanted included.",121.31817,4.7984166,20,10.5125,0,5.191449,4548.894,91.84476,0.0,42895,585,0.013637953,6.371612,5.0812216,876.22815,0.039169058203697205,0.0
"Context:
At the concert, the singer held a note while the crowd clapped in rhythm, and the lighting shifted from blue to white. She recorded a short clip, then lowered her phone to actually watch, timing it with the chorus. In the same instant, her friend shouted her name and pointed toward the stage. The moment felt layered, like several events sharing one breath.",42.57357,3.7512336,21,8.125,1,7.653425,6234.751,119.33523,0.0,32746,578,0.01765101,6.359574,5.109199,814.6354,0.9841434955596924,1.0
"Context:
The storage room had puddles from a leak, and the spill mixed with dust into a gritty paste. An IT analyst said the system showed unusual access patterns, like a door had been left open in cyberspace. On the road, a fire crew redirected traffic around a crash scene where smoke and smashed plastic filled the air. A kangaroo used a sagging corner fence to hop out and vanish beyond the shrubs. In the café, someone stirred soup while a clinician inserted a catheter and taped it in place with quick efficiency.",82.88481,4.417452,22,9.924999,0,5.851189,4548.894,93.92653,0.0,45053,587,0.013029099,6.375025,5.3398848,777.4307,0.029013874009251595,0.0
"Context:
During the hike, they walked and talked at the same time, matching steps to a steady rhythm of breath. At a narrow bridge they waited for another group to cross, standing still while the river kept moving below. If the clouds thickened before they reached the ridge, they agreed to turn around early. One of them checked a health app for altitude stats, and the screen refreshed as they started moving again, with the world returning to motion all at once.",33.812454,3.5208292,23,6.834375,0,6.526933,6482.4893,111.08493,0.0,40378,587,0.014537619,6.375025,5.1421967,993.1907,0.14424701035022736,0.0
"Context:
The awards dinner began with a toast, then the chairs scraped back as people stood to applaud the first recipient. Between courses, a short keynote turned into a lively Q&A that spilled past the schedule. Later, the symposium panelists gathered at the front for a final round of questions. When dessert arrived, the room had relaxed into small clusters of conversations.",36.628323,3.6008217,24,7.228123,1,7.858454,5697.9844,119.30704,0.0,31906,576,0.01805303,6.3561077,5.126444,725.07697,0.9935569167137146,1.0
"Context:
In the lab notebook, I wrote a clear comparison between two materials we tested that afternoon. The polymer stayed flexible after cooling, but the resin turned rigid and cracked when bent. Their surfaces looked similar at first glance, yet their behavior under stress split them apart. I circled the polymer result as the safer choice for the prototype.",53.73933,3.9841452,25,9.025,1,7.1906586,4548.894,109.831345,0.0,29346,570,0.01942343,6.3456364,5.004806,632.6116,0.9108539819717407,1.0
"Context:
The morning radio said inflation slowed to 2%, but a caller complained that groceries felt 10% more expensive anyway. At work we discussed how marketing made up 22% of our budget and whether that share should shrink. On my lunch break I saw an ad offering 25% off with a ""deal"" code and almost clicked out of habit. Later I read a fitness article claiming a 30% improvement in endurance after a structured plan. That evening a market update said the index fell 3%, and the numbers blended into one long soundtrack.",34.40468,3.5381925,26,8.168747,0,5.034414,4548.894,94.04402,0.0,50521,586,0.011599137,6.3733196,5.1283507,903.5598,0.004717643838375807,0.0
"Context:
She bookmarked an online article about a bug that appeared after the newest release, then forgot about it until the error popped up on her own laptop. The help page suggested updating again, which felt like being told to walk into the same wall twice. She checked the version number, sighed, and copied the log into a forum post. By morning, the article had been updated with a different workaround.",29.041073,3.3687112,27,7.306249,1,6.930323,7112.514,109.44101,0.0,35724,588,0.016459523,6.376727,5.1791573,1026.289,0.9946882724761963,1.0
"Context:
During the neighborhood meeting, people argued about where to host the summer event. If we chose the park, we would need a rain plan, but the community hall cost more. Someone pointed out that families with strollers preferred the flat paths outside. We agreed on the park, with a backup date if the weather turned.",29.406391,3.381212,28,6.6375,1,7.9453273,6152.1714,121.44872,0.0,28933,579,0.020011751,6.3613024,5.007699,774.3132,0.9571644067764282,1.0
"Context:
In the garage, the mechanic slid a socket extension deep into a tight cavity around the bolt. He rotated it by feel, listening for the faint click that meant it had seated properly. When the part finally loosened, he withdrew the tool and wiped it clean. The job was awkward because there was no room for fingers, only metal and patience. He leaned back, satisfied that nothing had stripped or snapped.",28.977142,3.3665073,29,7.1812468,1,6.985033,4548.894,104.76959,0.0,36155,589,0.01629097,6.378426,5.2407646,651.23444,0.9568401575088501,1.0
"Context:
The conference badge had my name and a bold 2025 printed under it, as if the year were part of my identity for the week. Every talk slide included a footer with a year, and the older the year looked, the more the room treated it like history. When someone referenced a 1997 paper, a few heads nodded with extra respect. The years weren’t decoration; they were credentials.",29.900581,3.397878,30,7.940625,1,6.048723,5491.5356,102.33475,0.0,38664,578,0.014949307,6.359574,5.097638,907.8834,0.9126641154289246,1.0
"Context:
The box for the power bank promised 20,000 mAh, listed the ports, and included a small sheet about proper charging. He read an internal wiki page that documented function parameters and return values, then added a comment to clarify a confusing edge case. They went to a late screening at a small cinema downtown, an event that drew a line out the door despite the cold. Afterward, they made toasted sandwiches by following a recipe that was really just habit and timing. On the walk home, they discussed a teaching about wealth and humility, and even the science-minded friend didn’t dismiss it.",50.783127,3.9275641,31,8.437498,0,4.8322563,4817.488,91.04213,0.0,54316,582,0.010715075,6.3664703,5.2226644,996.9438,0.0377948060631752,0.0
"Context:
The ticket listed the meeting as 16 December 2025, and right next to it the rollout plan said v2.7.0, as if the date and the build were inseparable. Someone asked whether Python 3.12.1 was required, so I wrote the supported software versions into the thread. Another person kept mixing up the year, so I emphasized 2025 in bold where the date appeared. By the end, the timeline referenced earlier years from old publications to justify why we were changing anything now.",44.553043,3.7966805,32,8.799999,0,6.9609294,4548.894,109.93561,0.0,48886,655,0.013398519,6.4846354,5.432021,653.48944,0.0013157498324289918,0.0
"Context:
The shopping note had apples, oats, and yogurt written in one line. I added olive oil and bread, then tucked a small word between them so it read naturally. At the store, I walked through the aisles in order, picking items from the list as I went. A quick stop at the pharmacy came after the bakery, just as the note said. The separators kept the errands from turning into a mess.",50.412815,3.9202454,33,8.109375,1,9.145676,5996.0146,130.27554,0.0,37046,650,0.017545754,6.4769726,5.389914,655.612,0.6713513731956482,1.0
"Context:
The recipe card said to chop onions and garlic, then warm oil in a pan. I stirred the mixture with a wooden spoon and watched it turn glossy. After that, I poured in tomatoes and let everything simmer under a lid. A note at the bottom mentioned serving it with rice or bread. The short connectors made the steps flow without confusion.",37.153152,3.6150486,34,7.821873,1,11.408479,6523.7793,141.25615,0.0,31158,651,0.02089351,6.4785094,5.498494,571.83606,0.9864436388015747,1.0
