prompt,ppl_base,next_token_loss_base,original_index,ppl_spike_90,label,mean_cluster_risk,max_cluster_risk,std_cluster_risk,median_cluster_risk,n_hits,n_unique_features,polysemantic_ratio,feature_entropy,weighted_entropy,dominance_ratio,label_proba,label_pred
"Context:
He explained how the bug appeared only when the locale was set to one language and the date format changed. So the inference was that parsing failed at the boundary case. He summarized the fix and the test he added to prevent regressions. So should the input be normalized earlier, or should the parser be replaced entirely? The report ended with a technical concluding phrase pointing to the consequence.",83.80818,4.4285307,0,8.825,0,0.24676485,781.4953,8.979359,0.0,57239,746,0.0130330715,6.6147256,3.9706268,3166.9636,0.09274662286043167,0.0
"Context:
The itinerary jumped from one state to the next, with exact city names in bold. He checked local listings to confirm which services were actually offered near each stop. When he ran the numbers, he compared what different groups would pay if they split costs in different ways. He asked the organizer to rate the plan and provide feedback on timing. Finally, he copied the documents to a new SSD and tested restoring them from the backup folder.",65.12954,4.1763783,1,8.537499,0,0.1296489,804.0585,6.07702,0.0,65184,742,0.011383162,6.6093493,3.61379,6201.815,0.014301965944468975,0.0
"Context:
On the hiking trail, a rock split cleanly and revealed an imprint that looked like a fern pressed into clay. The ranger called it a fossil and explained why that formation was rare in the region. I wrapped it carefully and carried it back as if it could crumble from a harsh word. Later, under a desk lamp, the details seemed impossibly crisp.",92.27269,4.5247483,2,9.5625,1,0.14908855,545.28357,5.959788,0.0,55050,742,0.013478655,6.6093493,3.7462232,3657.4478,0.9877101182937622,1.0
"Context:
The course required a lab report, and the teaching assistant marked every missing citation in red. Peer review day arrived, and classmates traded drafts as if they were currency. The department insisted that a passing grade meant meeting the learning outcomes, not just writing something that sounded confident. At the end, the certificate of completion was printed with the institute’s seal.",126.44302,4.839792,3,9.5125,1,0.20549247,952.50934,7.6829486,0.0,54353,745,0.013706695,6.6133842,3.9944248,4635.252,0.9972921013832092,1.0
"Context:
The newspaper article mentioned several countries and the industrial zones inside them. A sidebar listed what public services were available in each city, from libraries to late-night buses. Readers argued about economic policy and compared how wealthy different groups were becoming. The editor posted a request for feedback, asking the audience to rate the coverage and submit corrections. After publication, the newsroom copied the files to redundant storage and tested the restore process.",90.51767,4.505545,4,9.425,0,0.1956482,551.92804,7.089437,0.0,63023,748,0.011868683,6.617403,4.069234,2821.023,0.004883361514657736,0.0
"Context:
She sent the package to her sister and then walked to the pharmacy to pick up a prescription. He moved the chair to the window so the plant could get more light. A courier came to the building and carried the forms to the reception desk. The message asked him to reply to the manager by Friday. Nothing about the day was dramatic, just one place and task leading to another.",53.23322,3.9746826,5,8.3875,1,0.15782852,795.7959,7.759996,0.0,57937,738,0.012737974,6.603944,3.3523989,5042.1553,0.9987061023712158,1.0
"Context:
The receipt says Harbor Coffee Roasters, but my dad just calls it the place by the bridge. He mailed a postcard to Grandma’s house on Larch Street and wrote the address in his careful block letters. On the kitchen shelf, a paperback of Pride and Prejudice leans against a stack of school notebooks. My brother won’t stop talking about the Yankees, even when nobody asked.",92.76959,4.530119,6,9.450001,1,0.17602624,660.98376,6.9178944,0.0,63016,741,0.011758918,6.6080008,3.8874288,3755.0298,0.07391433417797089,0.0
"Context:
This is what I learned from using the app: the shortcut saves time, and that’s the only reason I recommend it. In the review, these screens were bright, but those reflections were brutal outdoors. At the circuit, this corner and that bump were the spots drivers talked about, and these signs helped tourists find the stands. These honors and that policy change were bundled into one announcement, and this explanation made the chain of events clear.",141.91826,4.955251,7,9.924999,0,0.18161787,642.5315,6.4445677,0.0,67372,745,0.011058006,6.6133842,4.184767,3537.8208,0.0027487040497362614,0.0
"Context:
She took the bus to the museum to see the exhibit and to meet her cousin afterward. A postcard was for her cousin’s child, so she bought it and planned to send it to the right address later. The reason for visiting was that the exhibit’s purpose was to show how the city changed over time. That evening she followed a recipe to roast vegetables, stirring spices and baking them to caramelize. She packed some to give to her cousin before they said goodbye.",42.643997,3.7528865,8,8.24375,0,0.17191729,543.86224,7.2022657,0.0,73879,743,0.010056985,6.610696,3.9114158,3163.511,0.003046444384381175,0.0
"Context:
The briefing compared two economies and framed the gap as a consequence of political choices. She compared two dashboards and showed the difference in churn between cohorts, then explained where the underlying tables were located and why each transformation existed. The team reviewed a product description for a new service bundle and tightened the wording. The announcement used and, but, and in to connect steps, and it ended with congratulations for the milestone. The contrast was visible in both the headlines and the metrics.",143.02975,4.9630527,9,9.875,0,0.19227234,860.1448,7.5502934,0.0,70276,752,0.010700666,6.6227365,4.049999,4473.575,0.0018792973132804036,0.0
"Context:
The event page outlined the schedule, ticket tiers, and what to bring if it rained. It ended with a short line about accessibility and an email for questions. The tone shifted from lively to formal right at the finish. The description felt complete once the contact details appeared.",117.00192,4.7621903,10,9.18125,1,0.1291414,352.38312,5.2489915,0.0,42013,743,0.017685002,6.610696,3.3921237,2728.661,0.9994937181472778,1.0
"Context:
He finished a follow-up appointment and went straight to the playoff watch party. Someone at the table was enthusiastic about a platform that bundled training videos with a slick reporting dashboard. Across the room, a collector argued about which edition was the real original, holding a hardcover like evidence. When a taunt from one fan to another got too personal, the confrontation drew a circle of onlookers.",123.99207,4.8202176,11,10.0,0,0.22408648,716.2163,8.076859,0.0,58675,747,0.012731146,6.616065,4.0373254,3196.1604,0.027808601036667824,0.0
"Context:
This recognition and that press coverage arrived just as the quarterly numbers were released. These results looked stronger than last year, and that shift was credited to a new product line. This change and that update to the handbook were pitched as part of a broader reset. In the end, these headlines and that board vote set the tone for the next quarter.",69.75888,4.2450447,12,9.549999,1,0.172752,865.91754,7.806105,0.0,52876,742,0.014032831,6.6093493,3.5045817,5012.4893,0.9931830763816833,1.0
