prompt,ppl_base,next_token_loss_base,original_index,ppl_spike_90,label,mean_cluster_risk,max_cluster_risk,std_cluster_risk,median_cluster_risk,n_hits,n_unique_features,polysemantic_ratio,feature_entropy,weighted_entropy,dominance_ratio,label_proba,label_pred
"Context:
The apartment was easy to navigate once I memorized what was next to what. The lamp stood beside the sofa, and the small table sat in front of it. I put the shoes under the rack so they wouldn’t block the hallway. After that, everything had a clear place relative to everything else.",25.711967,3.2469566,0,8.059366,1,4.811116,3369.369,71.29793,0.0,28669,619,0.021591267,6.4281054,5.109822,700.32996,0.9237492680549622,1.0
"Context:
The antique dealer examined the signature and the paper grain. Everything pointed to an authentic piece rather than a clever imitation. He documented the provenance carefully and refused to exaggerate the value. The honesty protected his reputation.",86.61285,4.461448,1,11.387501,1,7.2918973,3369.369,87.08358,0.0,19910,616,0.030939227,6.423247,5.186688,462.07025,0.962760329246521,1.0
"Context:
The skincare routine sounded too simple to matter, but my face cleared up in days. Friends asked if I’d changed diet or sleep, and I hadn’t. The before-and-after photos were dramatic enough that I stopped doubting it. For once, the promise matched the result.",27.293575,3.3066514,2,7.2593746,1,5.5241537,3369.369,73.62772,0.0,27808,624,0.022439586,6.4361506,5.3210154,609.93396,0.9517581462860107,1.0
"Context:
A social post promoted a condo launch and asked me to register online for early access. The page included a partner company, a note about delivery trucks, and a line about automated garage doors. It was 9°C in April in Toronto, Ontario, and my friend told me she’d just started dating someone new. We celebrated with a warm bowl of noodles, and she kept saying the restaurant was lovely while I snapped one quick photo.",48.279587,3.877009,3,8.4875,0,3.4633837,3369.369,59.852177,0.0,40935,619,0.0151215345,6.4281054,5.1776476,972.8547,0.03082425333559513,0.0
"Context:
That online community has a habit of turning problems into collaborative puzzles. A member compiled a resource hub with examples, FAQs, and references that keep getting updated. I followed along quietly until I finally contributed a small fix I had discovered. The thanks I got felt oddly motivating.",87.37699,4.470232,4,9.199999,1,5.222866,3369.369,74.66419,0.0,25596,620,0.024222534,6.4297194,5.074453,645.1188,0.9633806347846985,1.0
"Context:
The paper’s results were solid, but the conclusion felt more interesting after I read the linked earlier content. At the same time, the progress note on the agreement process said another review round was scheduled. I leaned on an online community for resources and found a curated set of links that saved me hours. I subscribed to the source’s feed so updates would appear in my reader without extra noise. Someone referenced 2020 as a personal turning point, turning the year into part of the discussion.",51.49723,3.941528,5,9.299999,0,3.151509,3369.369,56.610638,0.0,46649,627,0.013440803,6.4409466,5.226097,1069.1288,0.03082425333559513,0.0
"Context:
A startup founder posted revenue numbers after a big quarter, and the screenshot traveled faster than the press release. Customers praised the product’s results, and the comment section looked like a fan club. A candidate visited the office for a photo op, framing the company as a symbol of progress. That single week turned marketing into growth and growth into public influence.",53.63979,3.9822912,6,9.256249,0,4.1436114,3369.369,66.38331,0.0,33046,621,0.018791987,6.431331,5.0939302,813.1479,0.30025607347488403,0.0
"Context:
Early on Wednesday morning, I watched the clock and counted the seconds until it was reasonable to call. The afternoon was booked, so I moved one meeting to next week and another to next month. That evening, I updated the schedule for the rest of the week, then checked a yearly plan I’d almost forgotten. I realized the habit had been repeating for years, quietly stacking up like pages in a notebook. Over the weekend, I let the hours stretch and tried to stop measuring everything.",28.183031,3.33872,7,7.296872,0,3.7202923,3369.369,59.81995,0.0,45367,623,0.013732449,6.4345465,5.418415,905.67316,0.03082425333559513,0.0
"Context:
When the meeting ended, I sat down to start the document everyone had been waiting for. The first sentences stated the purpose, the scope, and who approved the work. I kept the opening tight so readers would understand the context immediately. After that, I added a table of contents and moved on.",23.428377,3.153948,8,6.7875,1,4.8290443,3369.369,71.892975,0.0,28230,614,0.021749912,6.419995,5.0777354,697.73,0.9365522861480713,1.0
"Context:
The concert starts at 19:30 on Friday, so I left work early. Doors open half an hour before the first song. My ticket email listed the exact date and check-in window. I set a reminder so I would not rush.",31.525105,3.4507842,9,8.274997,1,5.5946655,3369.369,76.85957,0.0,24712,611,0.02472483,6.4150968,5.1075454,602.2467,0.9633806347846985,1.0
