prompt,ppl_base,next_token_loss_base,original_index,ppl_spike_90,label,mean_cluster_risk,max_cluster_risk,std_cluster_risk,median_cluster_risk,n_hits,n_unique_features,polysemantic_ratio,feature_entropy,weighted_entropy,dominance_ratio,label_proba,label_pred
"Context:
The café was a narrow room with cracked tiles and a handwritten menu taped to the counter. She described the meal bite by bite, praising the char on the vegetables and the sharp lemon dressing. Halfway through, she admitted she couldn’t tolerate the loud blender behind the bar. They paid quickly and escaped to the quiet street.",126.34116,4.838986,0,9.75,1,0.11772494,677.8223,6.80916,0.0,53000,766,0.01445283,6.641182,2.94197,5757.678,0.9704909324645996,1.0
"Context:
The organization posted a call-to-action online and asked supporters to sign and share, then archived every response in a structured storage system. Volunteers also met with officials, framing the effort as political advocacy and lobbying around women’s health and religious freedom. A server hiccup briefly hid the donation link until the admin restored it from backups. After that, outreach continued without technical surprises.",123.58355,4.8169174,1,9.700001,1,0.18179907,1196.157,10.67924,0.0,62086,768,0.012369938,6.64379,3.1967983,6579.555,0.8557689189910889,1.0
"Context:
He visited a monastery bookshop, an establishment that smelled of wax and old paper. The clerk recommended a Gospel commentary that linked the texts to social reform and historical upheaval. Even the shelves had little placards describing the shop’s quiet rules and its purpose. He bought the book without bargaining.",216.04028,5.375465,2,9.75,0,0.16024771,760.6332,7.6378164,0.0,47714,768,0.016095905,6.64379,3.3038318,4746.6084,0.031101008877158165,0.0
"Context:
Kevin showed up as the shift lead, and Mark was introduced as the technician responsible for maintenance. A coworker brought in a terrarium with living creatures, and someone immediately complained because of a severe allergy to dander and pollen. Mark moved the tank to a separate room with a closed door while Kevin adjusted the seating plan for the meeting. The day continued with fewer sneezes and clearer boundaries.",69.629906,4.243194,3,8.574999,0,0.14058734,1398.5836,10.724993,0.0,62843,766,0.012189106,6.641182,2.6742449,9948.147,0.5719183683395386,1.0
"Context:
In the board game café, we argued over the final tally because one move changed the count of captured pieces. My friend quieted the debate by pulling up a scoring application that acted like a counter and settled it in seconds. The café air was warm and sugary, so I cracked a window and felt the room breathe. While waiting for the next round, I completed a scholarship application on a web platform, watching each upload switch from “pending” to “received.” The next morning, I boarded my flight and watched a panoramic sunrise wash over the clouds.",89.31235,4.49214,4,9.312498,0,0.09891832,975.32806,6.7964087,0.0,93139,771,0.00827795,6.6476884,3.3043456,9859.934,0.006767164450138807,0.0
"Context:
A formal business gathering brought executives together for meetings and a short hearing on compliance. The tech lead walked in with a list of website features and services needed for the company’s e-commerce rollout. He kept the discussion practical, focusing on checkout flow and account management. The board wanted decisions before lunch.",120.273544,4.7897687,5,9.825,1,0.14439543,981.46216,7.874952,0.0,49226,768,0.015601511,6.64379,3.103517,6797.0444,0.9392380118370056,1.0
"Context:
At checkout, the clerk asked which voucher I wanted to use first, the discount code or the gift voucher balance. The item itself was chosen for its materials, its exact dimensions, and the way the added features solved a real problem for me. I stepped outside into a neighborhood dealing with an outage while investor-owned utilities crews worked under bright floodlights. In the clinic across the street, I got the Hib vaccine and joked about my weak immune system, but on the walk home the unfinished feeling returned, like something was missing from the day’s list.",91.712234,4.518656,6,10.0,0,0.15785588,1496.7299,8.89287,0.0,87837,774,0.0088117765,6.6515718,3.644607,9481.622,0.002616305835545063,0.0
"Context:
A travel blog compared Switzerland and Holland in one paragraph and then jumped to the US in the next, before ending with Costa Rica as the quiet favorite. In the middle of it, Noah told a personal story about getting lost on his first solo trip and how he finally asked for help. Noah’s little details made the countries feel less like pins on a map and more like places with texture. I closed the tab and wanted to book something immediately.",80.45003,4.387636,7,9.256249,1,0.07621251,975.32806,5.4199877,0.0,71171,767,0.010776862,6.6424866,3.0059288,12797.4795,0.8986591100692749,1.0
"Context:
The gallery in Paris printed name tags like Emily Carter and Ava Martinez. Catering set out Japanese teriyaki chicken while a sedan unloaded framed art pieces featuring bright patterns. Between sips of water, Priya Singh showed a client her Figma mockups on a tablet. I heard Marcus tell a quick story about Nina getting locked out, and then someone pointed out where Jonas had flown in from Copenhagen.",273.6455,5.6118336,8,10.4375,0,0.15874588,1042.8036,8.942001,0.0,64365,772,0.011994096,6.6489844,3.2893574,6569.0117,0.7836081385612488,1.0
"Context:
At the autumn fair, the chef handed out cups of roasted butternut squash soup and talked through the savory spices he used to keep it rich without cream. He slipped a stack of printed recipe cards next to the napkins for anyone who wanted to try it at home. Across the hall, a community center hosted a small educational booth where students demonstrated their gardening project. By closing time the soup pot was empty and the student club had new sign-ups.",60.28891,4.0991483,9,8.25,1,0.13551548,1380.1812,9.919039,0.0,72680,764,0.010511832,6.638568,2.8690693,10184.675,0.786834716796875,1.0
